country,age,pop
"Korea,South",39,749817
"Korea,South",40,805772
"Korea,South",41,827205
"Korea,South",42,845003
"Korea,South",43,844032
"Korea,South",44,859237
"Korea,South",45,876357
"Korea,South",46,849590
"Korea,South",47,767555
"Korea,South",48,769118
"Korea,South",49,776462
"Korea,South",50,793633
"Korea,South",51,848847
"Korea,South",52,848449
"Korea,South",53,859144
"Korea,South",54,831894
"Korea,South",55,822810
"Korea,South",56,761775
"Korea,South",57,703572
"Korea,South",58,665547
"Korea,South",59,687594
"Korea,South",60,576328
"Korea,South",61,483473
"Korea,South",62,544383
"Korea,South",63,420285
"Korea,South",64,427764
"Korea,South",65,437296
"Korea,South",66,430943
"Korea,South",67,424798
"Korea,South",68,374650
"Korea,South",69,325096
"Korea,South",70,325935
"Korea,South",71,329349
"Korea,South",72,364115
"Korea,South",73,337034
"Korea,South",74,297615
"Korea,South",75,303073
"Korea,South",76,277039
"Korea,South",77,259161
"Korea,South",78,236998
"Korea,South",79,226758
"Korea,South",80,199415
"Korea,South",81,166358
"Korea,South",82,157832
"Korea,South",83,126401
"Korea,South",84,107776
"Korea,South",85,346516
Mexico,0,2260074
Mexico,1,2253508
Mexico,2,2243154
Mexico,3,2238257
Mexico,4,2240822
Mexico,5,2240284
Mexico,6,2238504
Mexico,7,2237836
Mexico,8,2238442
Mexico,9,2240712
Mexico,10,2241655
Mexico,11,2239010
Mexico,12,2236861
Mexico,13,2232569
Mexico,14,2230310
Mexico,15,2227103
Mexico,16,2220573
Mexico,17,2212445
Mexico,18,2198987
Mexico,19,2186512
Mexico,20,2177344
Mexico,21,2158114
Mexico,22,2137074
Mexico,23,2120051
Mexico,24,2103241
Mexico,25,2081042
Mexico,26,2055252
Mexico,27,2022152
Mexico,28,1988314
Mexico,29,1949609
Mexico,30,1896542
Mexico,31,1852194
Mexico,32,1810347
Mexico,33,1770734
Mexico,34,1756286
Mexico,35,1731298
Mexico,36,1719948
Mexico,37,1712246
Mexico,38,1711459
Mexico,39,1702520
Mexico,40,1682384
Mexico,41,1648424
Mexico,42,1601176
Mexico,43,1546648
Mexico,44,1499103
Mexico,45,1457904
Mexico,46,1418088
Mexico,47,1380295
Mexico,48,1348099
Mexico,49,1309762
Mexico,50,1267720
Mexico,51,1227973
Mexico,52,1187313
Mexico,53,1143575
Mexico,54,1107425
Mexico,55,1070454
Mexico,56,1026181
Mexico,57,970070
Mexico,58,911073
Mexico,59,850229
Mexico,60,793861
Mexico,61,743578
Mexico,62,702565
Mexico,63,669800
Mexico,64,640055
Mexico,65,609864
Mexico,66,581384
Mexico,67,552241
Mexico,68,524511
Mexico,69,499193
Mexico,70,475794
Mexico,71,452119
Mexico,72,427833
Mexico,73,403805
Mexico,74,378773
Mexico,75,353428
Mexico,76,328119
Mexico,77,302282
Mexico,78,277161
Mexico,79,252688
Mexico,80,229248
Mexico,81,206698
Mexico,82,185167
Mexico,83,164415
Mexico,84,144730
Mexico,85,450380
